game_id,week,team,home_team_id,opponent,away_team_id,Home_pts,Away_pts,model_prediction_raw,model_prediction,over_under_open,over_under
401858225,3,Pittsburgh,221,Syracuse,183,31,17.5,48.5,57.5,59.5,53.5
401858226,3,Wake Forest,154,Miami,2390,28,41,69,54,50.5,55.5
401856811,3,Texas Tech,2641,Houston,248,29,24,53,52.5,52.5,52.5
401869940,3,Delaware,48,Coastal Carolina,324,32.5,18,50.5,57,58.5,58.5
401856686,3,Arkansas,8,Georgia,61,25,42.5,67.5,55.5,52.5,53.5
401858229,3,Clemson,228,North Carolina,153,21,28,49,45.5,44.5,44.5
401856812,3,Kansas,2305,Arizona State,9,26,26.5,52.5,55.5,56.5,55.5
401858456,3,Penn State,213,Buffalo,2084,38,17.5,56,50,48.5,48.5
401858454,3,Ohio State,194,Kent State,2309,54,13,66.5,58.5,56.5,57.5
401860889,3,Texas State,326,North Texas,249,30,36.5,66,64,63.5,63.5
401858451,3,Minnesota,135,Akron,2006,26,19.5,45.5,48,48.5,48.5
401856798,3,Iowa State,66,Bowling Green,189,31.5,14.5,46,45.5,45.5,45.5
401856792,3,Kansas State,2306,Tulane,2655,37,16.5,53.5,50.5,49.5,49.5
401858460,3,Wisconsin,275,Eastern Michigan,2199,30,20.5,50.5,46.5,45.5,45.5
401856695,3,Vanderbilt,238,NC State,152,38.5,21.5,60,55.5,54.5,54.5
401864508,3,Central Michigan,2117,Wyoming,2751,21,17,38,39,39.5,39.5
401862774,3,Toledo,2649,Temple,218,36.5,16,52.5,51.5,51.5,51.5
401858457,3,Rutgers,164,USC,30,25,50,75.5,59.5,55.5,55.5
401856801,3,Utah,254,Utah State,328,39.5,15,54.5,57,57.5,57.5
401856694,3,Texas A&M,245,Kentucky,96,48,17,65,52,48.5,48.5
401858230,3,Louisville,97,SMU,2567,34.5,34.5,69,59,56.5,59.5
401856685,3,Alabama,333,Florida State,52,34,16,50,52,52.5,50.5
401856797,3,Cincinnati,2132,Miami (OH),193,36,23,59,51.5,49.5,49.5
401858450,3,Michigan,130,UTEP,2638,30.5,13.5,43.5,48.5,49.5,49.5
401866422,3,Liberty,2335,Ball State,2050,35,19.5,54.5,55.5,55.5,55.5
401867804,3,Baylor,239,Louisiana Tech,2348,32.5,19,51.5,54.5,55.5,55.5
401858449,3,Indiana,84,Western Kentucky,98,54.5,15.5,70,61.5,59.5,59.5
401858231,3,Duke,150,Stanford,24,30,21.5,51.5,50.5,50.5,50.5
401856691,3,South Carolina,2579,Mississippi State,344,36,23.5,59.5,55.5,54.5,58.5
401862710,3,Old Dominion,295,East Carolina,151,26.5,17,44,48.5,49.5,49.5
401862771,3,Florida Atlantic,2226,Florida Internatio,2229,27,29.5,56.5,61.5,62.5,62.5
401864574,3,App State,2026,Charlotte,2429,37.5,22,59.5,54,52.5,52.5
401871047,3,Missouri State,2623,Marshall,276,29.5,24,53.5,51,50.5,50.5
401866423,3,South Alabama,6,Ohio,195,37,19.5,56.5,53.5,53,53
401869948,3,Jacksonville State,55,Georgia Southern,290,28,23,51,52,52.5,52.5
401856687,3,Auburn,2,Florida,57,32,32,64,55.5,53.5,53.5
401856689,3,Missouri,142,Troy,2653,26.5,19.5,46,49.5,50.5,50.5
401856800,3,UCF,2116,Georgia State,2247,31.5,21,52.5,50,49.5,49.5
401861963,3,Southern Mississip,2572,Connecticut,41,35,25,60,56.5,55.5,55.5
401862773,3,Rice,242,Western Michigan,2711,22.5,21.5,43.5,45,45.5,45.5
401864443,3,Middle Tennessee,2393,Nevada,2440,36,18.5,54.5,51.5,51,51
401858232,3,Maryland,120,Virginia Tech,259,32,20,52,53,53.5,54.5
401856795,3,Colorado State,36,BYU,252,25.5,35,60.5,54,52.5,52.5
401856796,3,Northwestern,77,Colorado,38,32.5,22.5,55,47.5,45.5,47.5
401856688,3,Ole Miss,145,LSU,99,30.5,33,64,59,57.5,58.5
401856690,3,Oklahoma,201,New Mexico,167,32.5,16,48.5,48.5,48.5,48.5
401858453,3,Notre Dame,87,Michigan State,127,50,14.5,64.5,55.5,53.5,53.5
401856802,3,Virginia,258,West Virginia,277,28,14.5,42.5,49,50.5,53.5
401856692,3,Tennessee,2633,Kennesaw State,338,44,20,63.5,60.5,59.5,59.5
401862776,3,Louisiana,309,UAB,5,39,26,64.5,60.5,59.5,59.5
401856799,3,TCU,2628,Arkansas State,2032,43.5,18,61.5,58.5,57.5,57.5
401856693,3,Texas,251,UT San Antonio,2636,46,24,70,60,57.5,57.5
401860887,3,San Diego State,21,James Madison,256,24.5,25.5,50.5,47.5,46.5,46.5
401864507,3,Sacramento State,16,North Dakota State,2449,24,21.5,45,52,53.5,53.5
401856793,3,Arizona,12,Northern Illinois,2459,37.5,11.5,49,49.5,49.5,49.5
401858458,3,UCLA,26,Purdue,2509,38,31,69,56.5,53.5,53.5
401860888,3,San José State,23,Fresno State,278,29.5,25,54.5,52,51.5,51.5
