team_id,btb_team_short,mascot,btb_team,cfbfastr_team,api_team,conference,logo
2005,Air Force,Falcons,Air Force Falcons,Air Force Falcons,NA,Mountain West,http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png
2006,Akron,Zips,Akron Zips,Akron Zips,Akron Zips,Mid-American,http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png
333,Alabama,Crimson Tide,Alabama Crimson Tide,Alabama Crimson Tide,Alabama Crimson Tide,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
2026,App State,Mountaineers,App State Mountaineers,Appalachian State Mountaineers,Appalachian State Mountaineers,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png
9,Arizona State,Sun Devils,Arizona State Sun Devils,Arizona State Sun Devils,Arizona State Sun Devils,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png
12,Arizona,Wildcats,Arizona Wildcats,Arizona Wildcats,Arizona Wildcats,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png
8,Arkansas,Razorbacks,Arkansas Razorbacks,Arkansas Razorbacks,Arkansas Razorbacks,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/8.png
2032,Arkansas State,Red Wolves,Arkansas State Red Wolves,Arkansas State Red Wolves,Arkansas State Red Wolves,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png
349,Army,Black Knights,Army Black Knights,Army Black Knights,Army Black Knights,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/349.png
2,Auburn,Tigers,Auburn Tigers,Auburn Tigers,Auburn Tigers,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png
2050,Ball State,Cardinals,Ball State Cardinals,Ball State Cardinals,Ball State Cardinals,Mid-American,http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png
239,Baylor,Bears,Baylor Bears,Baylor Bears,Baylor Bears,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/239.png
68,Boise State,Broncos,Boise State Broncos,Boise State Broncos,Boise State Broncos,Mountain West,http://a.espncdn.com/i/teamlogos/ncaa/500/68.png
103,Boston College,Eagles,Boston College Eagles,Boston College Eagles,NA,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/103.png
189,Bowling Green,Falcons,Bowling Green Falcons,Bowling Green Falcons,NA,Mid-American,http://a.espncdn.com/i/teamlogos/ncaa/500/189.png
2084,Buffalo,Bulls,Buffalo Bulls,Buffalo Bulls,Buffalo Bulls,Mid-American,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png
252,BYU,Cougars,BYU Cougars,BYU Cougars,BYU Cougars,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/252.png
25,California,Golden Bears,California Golden Bears,California Golden Bears,California Golden Bears,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png
2117,Central Michigan,Chippewas,Central Michigan Chippewas,Central Michigan Chippewas,Central Michigan Chippewas,Mid-American,http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png
2429,Charlotte,49ers,Charlotte 49ers,Charlotte 49ers,Charlotte 49ers,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png
2132,Cincinnati,Bearcats,Cincinnati Bearcats,Cincinnati Bearcats,Cincinnati Bearcats,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png
228,Clemson,Tigers,Clemson Tigers,Clemson Tigers,Clemson Tigers,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/228.png
324,Coastal Carolina,Chanticleers,Coastal Carolina Chanticleers,Coastal Carolina Chanticleers,Coastal Carolina Chanticleers,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/324.png
38,Colorado,Buffaloes,Colorado Buffaloes,Colorado Buffaloes,Colorado Buffaloes,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/38.png
36,Colorado State,Rams,Colorado State Rams,Colorado State Rams,Colorado State Rams,Mountain West,http://a.espncdn.com/i/teamlogos/ncaa/500/36.png
48,Delaware,Blue Hens,Delaware Blue Hens,Delaware Blue Hens,NA,CAA,http://a.espncdn.com/i/teamlogos/ncaa/500/48.png
150,Duke,Blue Devils,Duke Blue Devils,Duke Blue Devils,Duke Blue Devils,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png
151,East Carolina,Pirates,East Carolina Pirates,East Carolina Pirates,East Carolina Pirates,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/151.png
2199,Eastern Michigan,Eagles,Eastern Michigan Eagles,Eastern Michigan Eagles,Eastern Michigan Eagles,Mid-American,http://a.espncdn.com/i/teamlogos/ncaa/500/2199.png
2226,Florida Atlantic,Owls,Florida Atlantic Owls,Florida Atlantic Owls,Florida Atlantic Owls,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png
57,Florida,Gators,Florida Gators,Florida Gators,Florida Gators,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/57.png
2229,Florida InternationaL,Golden Panthers,Florida International Panthers,Florida International Golden Panthers,NA,Conference USA,http://a.espncdn.com/i/teamlogos/ncaa/500/2229.png
52,Florida State,Seminoles,Florida State Seminoles,Florida State Seminoles,Florida State Seminoles,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png
278,Fresno State,Bulldogs,Fresno State Bulldogs,Fresno State Bulldogs,Fresno State Bulldogs,Mountain West,http://a.espncdn.com/i/teamlogos/ncaa/500/278.png
61,Georgia,Bulldogs,Georgia Bulldogs,Georgia Bulldogs,Georgia Bulldogs,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png
290,Georgia Southern,Eagles,Georgia Southern Eagles,Georgia Southern Eagles,Georgia Southern Eagles,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/290.png
2247,Georgia State,Panthers,Georgia State Panthers,Georgia State Panthers,Georgia State Panthers,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png
59,Georgia Tech,Yellow Jackets,Georgia Tech Yellow Jackets,Georgia Tech Yellow Jackets,Georgia Tech Yellow Jackets,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png
62,Hawai'i,Rainbow Warriors,Hawaii Rainbow Warriors,Hawaii Rainbow Warriors,Hawaii Rainbow Warriors,Mountain West,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
248,Houston,Cougars,Houston Cougars,Houston Cougars,NA,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/248.png
356,Illinois,Fighting Illini,Illinois Fighting Illini,Illinois Fighting Illini,Illinois Fighting Illini,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png
84,Indiana,Hoosiers,Indiana Hoosiers,Indiana Hoosiers,Indiana Hoosiers,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/84.png
2294,Iowa,Hawkeyes,Iowa Hawkeyes,Iowa Hawkeyes,Iowa Hawkeyes,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png
66,Iowa State,Cyclones,Iowa State Cyclones,Iowa State Cyclones,Iowa State Cyclones,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png
55,Jacksonville Stat,Gamecocks,Jacksonville State Gamecocks,Jacksonville State Gamecocks,Jacksonville State Gamecocks,Conference USA,http://a.espncdn.com/i/teamlogos/ncaa/500/55.png
