Drive_Bin,Market_Total,True_Total,Over_probability,Under_probability,Push_probability
1,30.0,20.0,0.32775985,0.64878473,0.02345542
1,30.0,20.5,0.33651809,0.63982819,0.02365372
1,30.0,21.0,0.34539393,0.63076502,0.02384105
1,30.0,21.5,0.35438355,0.62159946,0.02401698
1,30.0,22.0,0.36348292,0.61233598,0.0241811
1,30.0,22.5,0.37268774,0.60297924,0.02433301
1,30.0,23.0,0.3819935,0.59353416,0.02447233
1,30.0,23.5,0.39139545,0.58400585,0.0245987
1,30.0,24.0,0.40088861,0.57439962,0.02471177
1,30.0,24.5,0.41046779,0.56472099,0.02481121
1,30.0,25.0,0.4201276,0.55497567,0.02489673
1,30.0,25.5,0.42986243,0.54516953,0.02496804
1,30.0,26.0,0.4396665,0.53530862,0.02502488
1,30.0,26.5,0.44953381,0.52539915,0.02506703
1,30.0,27.0,0.45945824,0.51544748,0.02509429
1,30.0,27.5,0.46943347,0.50546007,0.02510646
1,30.0,28.0,0.47945305,0.49544353,0.02510342
1,30.0,28.5,0.4895104,0.48540457,0.02508503
1,30.0,29.0,0.49959881,0.47534999,0.02505121
1,30.0,29.5,0.50971145,0.46528665,0.0250019
1,30.0,30.0,0.51984144,0.45522149,0.02493708
1,30.0,30.5,0.52998177,0.44516148,0.02485674
1,30.0,31.0,0.54012542,0.43511364,0.02476094
1,30.0,31.5,0.55026528,0.42508498,0.02464974
1,30.0,32.0,0.56039424,0.41508253,0.02452323
1,30.0,32.5,0.57050517,0.40511327,0.02438156
1,30.0,33.0,0.58059093,0.39518418,0.02422489
1,30.0,33.5,0.59064441,0.38530216,0.02405343
1,30.0,34.0,0.60065854,0.37547406,0.0238674
1,30.0,34.5,0.61062631,0.36570664,0.02366706
1,30.0,35.0,0.62054075,0.35600655,0.0234527
1,30.0,35.5,0.630395,0.34638034,0.02322466
1,30.0,36.0,0.6401823,0.33683444,0.02298327
1,30.0,36.5,0.64989599,0.32737509,0.02272892
1,30.0,37.0,0.65952957,0.31800843,0.022462
1,30.0,37.5,0.66907665,0.30874039,0.02218296
1,30.0,38.0,0.67853103,0.29957672,0.02189225
1,30.0,38.5,0.68788668,0.29052299,0.02159034
1,30.0,39.0,0.69713774,0.28158454,0.02127772
1,30.0,39.5,0.70627856,0.27276651,0.02095493
1,30.0,40.0,0.71530371,0.2640738,0.02062249
1,30.5,20.5,0.33651809,0.66348191,0.0
1,30.5,21.0,0.34539393,0.65460607,0.0
1,30.5,21.5,0.35438355,0.64561645,0.0
1,30.5,22.0,0.36348292,0.63651708,0.0
1,30.5,22.5,0.37268774,0.62731226,0.0
1,30.5,23.0,0.3819935,0.6180065,0.0
1,30.5,23.5,0.39139545,0.60860455,0.0
1,30.5,24.0,0.40088861,0.59911139,0.0
1,30.5,24.5,0.41046779,0.58953221,0.0
1,30.5,25.0,0.4201276,0.5798724,0.0
1,30.5,25.5,0.42986243,0.57013757,0.0
1,30.5,26.0,0.4396665,0.5603335,0.0
1,30.5,26.5,0.44953381,0.55046619,0.0
1,30.5,27.0,0.45945824,0.54054176,0.0
1,30.5,27.5,0.46943347,0.53056653,0.0
1,30.5,28.0,0.47945305,0.52054695,0.0
1,30.5,28.5,0.4895104,0.5104896,0.0
1,30.5,29.0,0.49959881,0.50040119,0.0
1,30.5,29.5,0.50971145,0.49028855,0.0
1,30.5,30.0,0.51984144,0.48015856,0.0
1,30.5,30.5,0.52998177,0.47001823,0.0
1,30.5,31.0,0.54012542,0.45987458,0.0
1,30.5,31.5,0.55026528,0.44973472,0.0
1,30.5,32.0,0.56039424,0.43960576,0.0
1,30.5,32.5,0.57050517,0.42949483,0.0
1,30.5,33.0,0.58059093,0.41940907,0.0
1,30.5,33.5,0.59064441,0.40935559,0.0
1,30.5,34.0,0.60065854,0.39934146,0.0
1,30.5,34.5,0.61062631,0.38937369,0.0
1,30.5,35.0,0.62054075,0.37945925,0.0
1,30.5,35.5,0.630395,0.369605,0.0
1,30.5,36.0,0.6401823,0.3598177,0.0
1,30.5,36.5,0.64989599,0.35010401,0.0
1,30.5,37.0,0.65952957,0.34047043,0.0
1,30.5,37.5,0.66907665,0.33092335,0.0
1,30.5,38.0,0.67853103,0.32146897,0.0
1,30.5,38.5,0.68788668,0.31211332,0.0
1,30.5,39.0,0.69713774,0.30286226,0.0
1,30.5,39.5,0.70627856,0.29372144,0.0
1,30.5,40.0,0.71530371,0.28469629,0.0
1,30.5,40.5,0.72420797,0.27579203,0.0
1,31.0,21.0,0.32363962,0.65460607,0.02175431
1,31.0,21.5,0.33243426,0.64561645,0.0219493
1,31.0,22.0,0.34134889,0.63651708,0.02213403
1,31.0,22.5,0.35037965,0.62731226,0.02230809
1,31.0,23.0,0.35952241,0.6180065,0.02247109
1,31.0,23.5,0.36877282,0.60860455,0.02262263
1,31.0,24.0,0.37812626,0.59911139,0.02276235
1,31.0,24.5,0.38757792,0.58953221,0.02288987
1,31.0,25.0,0.39712273,0.5798724,0.02300488
