Total_Bin,Market_Spread,True_Spread,Cover_probability,NoCover_probability,Push_probability
3,-60.0,-70.0,0.65462174,0.32991547,0.01546279
3,-60.0,-69.5,0.64671429,0.33768778,0.01559793
3,-60.0,-69.0,0.63874222,0.34553069,0.01572709
3,-60.0,-68.5,0.63070869,0.35344122,0.01585009
3,-60.0,-68.0,0.62261692,0.36141631,0.01596677
3,-60.0,-67.5,0.61447021,0.36945281,0.01607698
3,-60.0,-67.0,0.60627194,0.37754749,0.01618057
3,-60.0,-66.5,0.59802556,0.38569705,0.01627739
3,-60.0,-66.0,0.58973458,0.3938981,0.01636732
3,-60.0,-65.5,0.58140256,0.4021472,0.01645024
3,-60.0,-65.0,0.57303313,0.41044084,0.01652603
3,-60.0,-64.5,0.56462997,0.41877544,0.01659458
3,-60.0,-64.0,0.55619681,0.42714739,0.01665581
3,-60.0,-63.5,0.5477374,0.43555299,0.01670961
3,-60.0,-63.0,0.53925554,0.44398853,0.01675593
3,-60.0,-62.5,0.53075507,0.45245024,0.01679469
3,-60.0,-62.0,0.52223984,0.46093431,0.01682585
3,-60.0,-61.5,0.51371373,0.46943693,0.01684934
3,-60.0,-61.0,0.50518063,0.47795423,0.01686515
3,-60.0,-60.5,0.49664444,0.48648232,0.01687324
3,-60.0,-60.0,0.48810907,0.49501733,0.0168736
3,-60.0,-59.5,0.47957843,0.50355534,0.01686623
3,-60.0,-59.0,0.47105642,0.51209244,0.01685114
3,-60.0,-58.5,0.46254693,0.52062472,0.01682835
3,-60.0,-58.0,0.45405383,0.52914829,0.01679788
3,-60.0,-57.5,0.44558097,0.53765925,0.01675978
3,-60.0,-57.0,0.43713218,0.54615373,0.01671409
3,-60.0,-56.5,0.42871126,0.55462787,0.01666088
3,-60.0,-56.0,0.42032195,0.56307784,0.01660021
3,-60.0,-55.5,0.41196798,0.57149985,0.01653217
3,-60.0,-55.0,0.403653,0.57989014,0.01645685
3,-60.0,-54.5,0.39538065,0.588245,0.01637435
3,-60.0,-54.0,0.38715447,0.59656076,0.01628477
3,-60.0,-53.5,0.37897796,0.60483379,0.01618825
3,-60.0,-53.0,0.37085456,0.61306055,0.01608489
3,-60.0,-52.5,0.36278764,0.62123751,0.01597485
3,-60.0,-52.0,0.35478047,0.62936127,0.01585826
3,-60.0,-51.5,0.34683628,0.63742843,0.01573528
3,-60.0,-51.0,0.3389582,0.64543573,0.01560607
3,-60.0,-50.5,0.33114927,0.65337993,0.0154708
3,-60.0,-50.0,0.32341245,0.66125791,0.01532964
3,-59.5,-69.5,0.66231222,0.33768778,0.0
3,-59.5,-69.0,0.65446931,0.34553069,0.0
3,-59.5,-68.5,0.64655878,0.35344122,0.0
3,-59.5,-68.0,0.63858369,0.36141631,0.0
3,-59.5,-67.5,0.63054719,0.36945281,0.0
3,-59.5,-67.0,0.62245251,0.37754749,0.0
3,-59.5,-66.5,0.61430295,0.38569705,0.0
3,-59.5,-66.0,0.6061019,0.3938981,0.0
3,-59.5,-65.5,0.5978528,0.4021472,0.0
3,-59.5,-65.0,0.58955916,0.41044084,0.0
3,-59.5,-64.5,0.58122456,0.41877544,0.0
3,-59.5,-64.0,0.57285261,0.42714739,0.0
3,-59.5,-63.5,0.56444701,0.43555299,0.0
3,-59.5,-63.0,0.55601147,0.44398853,0.0
3,-59.5,-62.5,0.54754976,0.45245024,0.0
3,-59.5,-62.0,0.53906569,0.46093431,0.0
3,-59.5,-61.5,0.53056307,0.46943693,0.0
3,-59.5,-61.0,0.52204577,0.47795423,0.0
3,-59.5,-60.5,0.51351768,0.48648232,0.0
3,-59.5,-60.0,0.50498267,0.49501733,0.0
3,-59.5,-59.5,0.49644466,0.50355534,0.0
3,-59.5,-59.0,0.48790756,0.51209244,0.0
3,-59.5,-58.5,0.47937528,0.52062472,0.0
3,-59.5,-58.0,0.47085171,0.52914829,0.0
3,-59.5,-57.5,0.46234075,0.53765925,0.0
3,-59.5,-57.0,0.45384627,0.54615373,0.0
3,-59.5,-56.5,0.44537213,0.55462787,0.0
3,-59.5,-56.0,0.43692216,0.56307784,0.0
3,-59.5,-55.5,0.42850015,0.57149985,0.0
