Season,Season Type,CFB Week,Game Date,Home Team,Away Team,Favorite,Underdog,Open Source,Close Source,Open Book,Open Day,Fav Spread Open,Fav Spread Close,Fav Movement,Fav Direction,Dog Spread Open,Dog Spread Close,Dog Movement,Dog Direction
2021,regular,1,2021-08-28,Illinois,Nebraska,Nebraska,Illinois,cfbd,cfbd,Bovada,NA,-8.5,-7,1.5,smaller,8.5,7,-1.5,smaller
2021,regular,1,2021-08-28,Fresno State,UConn,Fresno State,UConn,cfbd,cfbd,Bovada,NA,-27.5,-28,-0.5,larger,27.5,28,0.5,larger
2021,regular,1,2021-08-28,UCLA,Hawai'i,UCLA,Hawai'i,cfbd,cfbd,Bovada,NA,-14,-18,-4,larger,14,18,4,larger
2021,regular,1,2021-08-28,New Mexico State,UTEP,UTEP,New Mexico State,cfbd,cfbd,Bovada,NA,-8,-10,-2,larger,8,10,2,larger
2021,regular,1,2021-08-28,San José State,Southern Utah,San José State,Southern Utah,cfbd,cfbd,Bovada,NA,-22.5,-28.5,-6,larger,22.5,28.5,6,larger
2021,regular,1,2021-09-01,Jacksonville State,UAB,UAB,Jacksonville State,cfbd,cfbd,Bovada,NA,-16.5,-16,0.5,smaller,16.5,16,-0.5,smaller
2021,regular,1,2021-09-02,Coastal Carolina,The Citadel,Coastal Carolina,The Citadel,cfbd,cfbd,Bovada,NA,-35,-33.5,1.5,smaller,35,33.5,-1.5,smaller
2021,regular,1,2021-09-02,UCF,Boise State,UCF,Boise State,cfbd,cfbd,Bovada,NA,-4,-6.5,-2.5,larger,4,6.5,2.5,larger
2021,regular,1,2021-09-02,Buffalo,Wagner,Buffalo,Wagner,cfbd,cfbd,Bovada,NA,-43.5,-44,-0.5,larger,43.5,44,0.5,larger
2021,regular,1,2021-09-02,Ball State,Western Illinois,Ball State,Western Illinois,cfbd,cfbd,Bovada,NA,-32.5,-31.5,1,smaller,32.5,31.5,-1,smaller
2021,regular,1,2021-09-02,Tulsa,UC Davis,Tulsa,UC Davis,cfbd,cfbd,Bovada,NA,-22.5,-22,0.5,smaller,22.5,22,-0.5,smaller
2021,regular,1,2021-09-02,Utah,Weber State,Utah,Weber State,cfbd,cfbd,Bovada,NA,-30.5,-29.5,1,smaller,30.5,29.5,-1,smaller
2021,regular,1,2021-09-02,NC State,South Florida,NC State,South Florida,cfbd,cfbd,Bovada,NA,-16.5,-20,-3.5,larger,16.5,20,3.5,larger
2021,regular,1,2021-09-02,App State,East Carolina,App State,East Carolina,cfbd,cfbd,Bovada,NA,-13,-9.5,3.5,smaller,13,9.5,-3.5,smaller
2021,regular,1,2021-09-02,New Mexico,Houston Christian,New Mexico,Houston Christian,cfbd,cfbd,Bovada,NA,-24.5,-25.5,-1,larger,24.5,25.5,1,larger
2021,regular,1,2021-09-02,Tennessee,Bowling Green,Tennessee,Bowling Green,cfbd,cfbd,Bovada,NA,-30.5,-37,-6.5,larger,30.5,37,6.5,larger
2021,regular,1,2021-09-02,Minnesota,Ohio State,Ohio State,Minnesota,cfbd,cfbd,Bovada,NA,-14,-14,0,neutral,14,14,0,neutral
2021,regular,1,2021-09-02,Florida International,Long Island University,Florida International,Long Island University,cfbd,cfbd,Bovada,NA,-33.5,-35,-1.5,larger,33.5,35,1.5,larger
2021,regular,1,2021-09-02,UNLV,Eastern Washington,UNLV,Eastern Washington,cfbd,cfbd,Bovada,NA,-1,-2,-1,larger,1,2,1,larger
2021,regular,1,2021-09-02,Arizona State,Southern Utah,Arizona State,Southern Utah,cfbd,cfbd,Bovada,NA,-45,-45.5,-0.5,larger,45,45.5,0.5,larger
2021,regular,1,2021-09-03,Virginia Tech,North Carolina,North Carolina,Virginia Tech,cfbd,cfbd,Bovada,NA,-5.5,-6,-0.5,larger,5.5,6,0.5,larger
2021,regular,1,2021-09-03,Charlotte,Duke,Duke,Charlotte,cfbd,cfbd,Bovada,NA,-7.5,-6.5,1,smaller,7.5,6.5,-1,smaller
2021,regular,1,2021-09-03,Wake Forest,Old Dominion,Wake Forest,Old Dominion,cfbd,cfbd,Bovada,NA,-32,-33,-1,larger,32,33,1,larger
2021,regular,1,2021-09-03,Kansas,South Dakota,Kansas,South Dakota,cfbd,cfbd,Bovada,NA,-13,-11.5,1.5,smaller,13,11.5,-1.5,smaller
2021,regular,1,2021-09-03,Colorado State,South Dakota State,Colorado State,South Dakota State,cfbd,cfbd,Bovada,NA,-3,-2.5,0.5,smaller,3,2.5,-0.5,smaller
2021,regular,1,2021-09-03,Northwestern,Michigan State,Northwestern,Michigan State,cfbd,cfbd,Bovada,NA,-7,-3,4,smaller,7,3,-4,smaller
2021,regular,1,2021-09-03,Colorado,Northern Colorado,Colorado,Northern Colorado,cfbd,cfbd,Bovada,NA,-38,-37.5,0.5,smaller,38,37.5,-0.5,smaller
2021,regular,1,2021-09-04,Nebraska,Fordham,Nebraska,Fordham,cfbd,cfbd,Bovada,NA,-43.5,-41.5,2,smaller,43.5,41.5,-2,smaller
2021,regular,1,2021-09-04,Oklahoma,Tulane,Oklahoma,Tulane,cfbd,cfbd,Bovada,NA,-22,-31.5,-9.5,larger,22,31.5,9.5,larger
2021,regular,1,2021-09-04,Wisconsin,Penn State,Wisconsin,Penn State,cfbd,cfbd,Bovada,NA,-4,-5.5,-1.5,larger,4,5.5,1.5,larger
2021,regular,1,2021-09-04,Rutgers,Temple,Rutgers,Temple,cfbd,cfbd,Bovada,NA,-13,-14,-1,larger,13,14,1,larger
2021,regular,1,2021-09-04,Kansas State,Stanford,Kansas State,Stanford,cfbd,cfbd,Bovada,NA,-0,-3.5,-3.5,larger,0,3.5,3.5,larger
2021,regular,1,2021-09-04,Georgia State,Army,Georgia State,Army,cfbd,cfbd,Bovada,NA,-3,-2.5,0.5,smaller,3,2.5,-0.5,smaller
2021,regular,1,2021-09-04,Kentucky,UL Monroe,Kentucky,UL Monroe,cfbd,cfbd,Bovada,NA,-28.5,-31,-2.5,larger,28.5,31,2.5,larger
2021,regular,1,2021-09-04,Michigan,Western Michigan,Michigan,Western Michigan,cfbd,cfbd,Bovada,NA,-16.5,-16.5,0,neutral,16.5,16.5,0,neutral
2021,regular,1,2021-09-04,Boston College,Colgate,Boston College,Colgate,cfbd,cfbd,Bovada,NA,-45,-42.5,2.5,smaller,45,42.5,-2.5,smaller
2021,regular,1,2021-09-04,UConn,Holy Cross,UConn,Holy Cross,cfbd,cfbd,Bovada,NA,-3,-3,0,neutral,3,3,0,neutral
2021,regular,1,2021-09-04,Oregon,Fresno State,Oregon,Fresno State,cfbd,cfbd,Bovada,NA,-20.5,-20,0.5,smaller,20.5,20,-0.5,smaller
2021,regular,1,2021-09-04,Arkansas,Rice,Arkansas,Rice,cfbd,cfbd,Bovada,NA,-21.5,-20,1.5,smaller,21.5,20,-1.5,smaller
2021,regular,1,2021-09-04,Air Force,Lafayette,Air Force,Lafayette,cfbd,cfbd,Bovada,NA,-41,-41,0,neutral,41,41,0,neutral
2021,regular,1,2021-09-04,Navy,Marshall,Marshall,Navy,cfbd,cfbd,Bovada,NA,-2.5,-3,-0.5,larger,2.5,3,0.5,larger
2021,regular,1,2021-09-04,Maryland,West Virginia,West Virginia,Maryland,cfbd,cfbd,Bovada,NA,-4,-2.5,1.5,smaller,4,2.5,-1.5,smaller
2021,regular,1,2021-09-04,Cincinnati,Miami (OH),Cincinnati,Miami (OH),cfbd,cfbd,Bovada,NA,-21.5,-22.5,-1,larger,21.5,22.5,1,larger
2021,regular,1,2021-09-04,Iowa,Indiana,Iowa,Indiana,cfbd,cfbd,Bovada,NA,-4,-3.5,0.5,smaller,4,3.5,-0.5,smaller
2021,regular,1,2021-09-04,Miami,Alabama,Alabama,Miami,cfbd,cfbd,Bovada,NA,-18.5,-19.5,-1,larger,18.5,19.5,1,larger
2021,regular,1,2021-09-04,Mississippi State,Louisiana Tech,Mississippi State,Louisiana Tech,cfbd,cfbd,Bovada,NA,-27.5,-21.5,6,smaller,27.5,21.5,-6,smaller
2021,regular,1,2021-09-04,Missouri,Central Michigan,Missouri,Central Michigan,cfbd,cfbd,Bovada,NA,-11,-14,-3,larger,11,14,3,larger
2021,regular,1,2021-09-04,Pittsburgh,Massachusetts,Pittsburgh,Massachusetts,cfbd,cfbd,Bovada,NA,-35.5,-37.5,-2,larger,35.5,37.5,2,larger
2021,regular,1,2021-09-04,Wyoming,Montana State,Wyoming,Montana State,cfbd,cfbd,Bovada,NA,-19,-19,0,neutral,19,19,0,neutral
2021,regular,1,2021-09-04,Iowa State,Northern Iowa,Iowa State,Northern Iowa,cfbd,cfbd,Bovada,NA,-31.5,-29,2.5,smaller,31.5,29,-2.5,smaller
2021,regular,1,2021-09-04,Texas,Louisiana,Texas,Louisiana,cfbd,cfbd,Bovada,NA,-12,-8.5,3.5,smaller,12,8.5,-3.5,smaller
2021,regular,1,2021-09-04,USC,San José State,USC,San José State,cfbd,cfbd,Bovada,NA,-16.5,-14,2.5,smaller,16.5,14,-2.5,smaller
2021,regular,1,2021-09-04,Liberty,Campbell,Liberty,Campbell,cfbd,cfbd,Bovada,NA,-35,-35,0,neutral,35,35,0,neutral
2021,regular,1,2021-09-04,Auburn,Akron,Auburn,Akron,cfbd,cfbd,Bovada,NA,-35.5,-37,-1.5,larger,35.5,37,1.5,larger
2021,regular,1,2021-09-04,Houston,Texas Tech,Texas Tech,Houston,cfbd,cfbd,Bovada,NA,-4,-2.5,1.5,smaller,4,2.5,-1.5,smaller
2021,regular,1,2021-09-04,Middle Tennessee,Monmouth,Middle Tennessee,Monmouth,cfbd,cfbd,Bovada,NA,-8,-8.5,-0.5,larger,8,8.5,0.5,larger
2021,regular,1,2021-09-04,South Carolina,Eastern Illinois,South Carolina,Eastern Illinois,cfbd,cfbd,Bovada,NA,-31.5,-31.5,0,neutral,31.5,31.5,0,neutral
2021,regular,1,2021-09-04,Ohio,Syracuse,Ohio,Syracuse,cfbd,cfbd,Bovada,NA,-0,-2,-2,larger,0,2,2,larger
2021,regular,1,2021-09-04,Texas State,Baylor,Baylor,Texas State,cfbd,cfbd,Bovada,NA,-12,-14,-2,larger,12,14,2,larger
2021,regular,1,2021-09-04,Troy,Southern,Troy,Southern,cfbd,cfbd,Bovada,NA,-25,-25,0,neutral,25,25,0,neutral
2021,regular,1,2021-09-04,Arkansas State,Central Arkansas,Arkansas State,Central Arkansas,cfbd,cfbd,Bovada,NA,-13,-14,-1,larger,13,14,1,larger
2021,regular,1,2021-09-04,Memphis,Nicholls,Memphis,Nicholls,cfbd,cfbd,Bovada,NA,-23.5,-23.5,0,neutral,23.5,23.5,0,neutral
2021,regular,1,2021-09-04,Oklahoma State,Missouri State,Oklahoma State,Missouri State,cfbd,cfbd,Bovada,NA,-38,-38,0,neutral,38,38,0,neutral
2021,regular,1,2021-09-04,Toledo,Norfolk State,Toledo,Norfolk State,cfbd,cfbd,Bovada,NA,-40,-39.5,0.5,smaller,40,39.5,-0.5,smaller
2021,regular,1,2021-09-04,SMU,Abilene Christian,SMU,Abilene Christian,cfbd,cfbd,Bovada,NA,-32,-32,0,neutral,32,32,0,neutral
2021,regular,1,2021-09-04,Purdue,Oregon State,Purdue,Oregon State,cfbd,cfbd,Bovada,NA,-7,-7,0,neutral,7,7,0,neutral
