week,team_logo_espn,team,game,true_spread,median_spread,spread_cover_probability,spread_edge,bin_cat,true_total,median_total,over_probability,total_over_probability,under_probability,total_under_probability,last_update_api
1,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,ATL,TB@ATL,4.5,1.5,0.35931523727000797,-0.16449428653951587,1,50,49,0.51185727,-0.011952253809523805,0.4611759,-0.06263362380952381,2025-07-12T20:01:32Z
1,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,BAL,BAL@BUF,1,1.5,0.5039999999999999,-0.02871028037383183,1,52,52,0.48312917,-0.04068035380952384,0.4900807,-0.033728823809523856,2025-07-12T20:01:32Z
1,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,BUF,BAL@BUF,-1,-1.5,0.49599999999999994,-0.016195121951219582,1,52,52,0.48312917,-0.04068035380952384,0.4900807,-0.033728823809523856,2025-07-12T20:01:32Z
1,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,CAR,CAR@JAX,7,2.5,0.3100999999999999,-0.18990000000000012,1,51,46.5,0.62253261,0.0987230861904762,0.37746739,-0.14634213380952382,2025-07-12T20:01:32Z
1,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,CIN,CIN@CLE,-10,-5.5,0.7096,0.18579047619047617,2,44.5,44.5,0.48984658,-0.03396294380952386,0.51015342,-0.013656103809523867,2025-07-12T20:01:32Z
1,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,CLE,CIN@CLE,10,5.5,0.29019999999999996,-0.23360952380952388,2,44.5,44.5,0.48984658,-0.03396294380952386,0.51015342,-0.013656103809523867,2025-07-12T20:01:32Z
1,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,DAL,DAL@PHI,7.5,7,0.4182685337988947,-0.10554099001062911,2,47,46.5,0.5059305,-0.017879023809523886,0.4940695,-0.02974002380952384,2025-07-12T20:01:32Z
1,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,DET,DET@GB,1.5,1.5,0.5001921804625203,-0.023617343347003494,1,49.5,49.5,0.49761669,-0.026192833809523863,0.50238331,-0.02142621380952381,2025-07-12T20:01:32Z
1,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,GB,DET@GB,-1.5,-1.5,0.4998132495432599,-0.02399627426626394,1,49.5,49.5,0.49761669,-0.026192833809523863,0.50238331,-0.02142621380952381,2025-07-12T20:01:32Z
1,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png,HOU,HOU@LA,2.5,3,0.48501320734310577,-0.03305908181352074,1,45,46,0.4540388,-0.06977072380952382,0.51990362,-0.003905903809523825,2025-07-12T20:01:32Z
1,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,IND,MIA@IND,2.5,1,0.4302064308494331,-0.08902433838133617,1,47.5,46.5,0.52490995,0.0011004261904761226,0.47509005,-0.04871947380952385,2025-07-12T20:01:32Z
1,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png,JAX,CAR@JAX,-7,-2.5,0.6881000000000002,0.14892949308755776,1,51,46.5,0.62253261,0.0987230861904762,0.37746739,-0.14634213380952382,2025-07-12T20:01:32Z
1,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,KC,KC@LAC,-4,-2.5,0.5992000000000002,0.06431627906976767,1,47,45.5,0.53679657,0.012987046190476192,0.46320343,-0.06060609380952381,2025-07-12T20:01:32Z
1,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,LA,HOU@LA,-2.5,-3,0.4208492139247832,-0.10296030988474064,1,45,46,0.4540388,-0.06977072380952382,0.51990362,-0.003905903809523825,2025-07-12T20:01:32Z
1,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,LAC,KC@LAC,4,2.5,0.4007,-0.11149512195121952,1,47,45.5,0.53679657,0.012987046190476192,0.46320343,-0.06060609380952381,2025-07-12T20:01:32Z
1,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,LV,LV@NE,1.5,3,0.5324642452883587,-2.4603508547305086e-4,1,43.5,42.5,0.52313122,-6.783038095238281e-4,0.47686878,-0.046940743809523844,2025-07-12T20:01:32Z
1,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,MIA,MIA@IND,-2.5,-1,0.5603269410311814,0.03651741722165758,1,47.5,46.5,0.52490995,0.0011004261904761226,0.47509005,-0.04871947380952385,2025-07-12T20:01:32Z
1,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,NE,LV@NE,-1.5,-3,0.40079220907693874,-0.11140291287428078,1,43.5,42.5,0.52313122,-6.783038095238281e-4,0.47686878,-0.046940743809523844,2025-07-12T20:01:32Z
1,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png,NYJ,PIT@NYJ,4,3,0.40069999999999995,-0.1405844036697248,1,41.5,39.5,0.55269403,0.02888450619047611,0.44730597,-0.07650355380952384,2025-07-12T20:01:32Z
