week,home_team,model_prediction,opening_spread,cover_probability_percent,edge,offensive_expected_points_season,defensive_expected_points_season,offensive_succsess_rate_percent,defensive_succsess_rate_percent,offensive_eckel_rate_over_expected_percent,defensive_eckel_rate_over_expected_percent,qb_expected_points_added_career,qb_expected_points_added_last_10_games,proe,raw_model,bin_cat,game,median_spread,true_spread,median_spread_price,median_total,median_total_price,last_update_api,spread_cover_probability,spread_push_probability,spread_loss_probability,implied_odds_spread,spread_edge,true_total
1,ATL,10.5,1.5,0.359315237,-0.16449,2.680095,1.529263,0.46898803,0.549943883,0.525547445,0.529850746,5.112958,-0.13231,-0.093459532,51.5,1,TB@ATL,2.5,5.5,-105.5,49,-111,2025-07-03T21:02:17Z,0.3874592094606942,1.713039432527097e-17,0.61254102990961945,0.51338199513382,-0.12592278567312581,50
1,BAL,-0.5,1,0.498136864,-0.02567,14.80414,-2.15931,0.49,0.581223629,0.582191781,0.531034483,5.711341,11.65923,-0.080842298,51.5,1,BAL@BUF,1.5,1,-112,52,-110,2025-07-03T21:02:17Z,0.5039999999999999,0,0.49599999999999994,0.5283018867924528,-0.02430188679245293,51.5
1,BUF,0.5,-1,0.494032561,-0.02978,12.17951,0.33036,0.48564868,0.559643255,0.605839416,0.517985612,6.613427,12.57951,-0.028532588,51.5,1,BAL@BUF,-1.5,-1,-107.5,52,-110,2025-07-03T21:02:17Z,0.49599999999999994,-6.505213034913027e-19,0.5039999999999999,0.5180722891566265,-0.022072289156626568,51.5
1,CAR,16,2.5,0.3101,-0.21371,-4.09528,9.31113,0.411347518,0.510288066,0.418918919,0.581081081,-5.22088,1.473496,-0.060152634,59,1,CAR@JAX,2.5,7,-2.5,46.5,-110,2025-07-03T21:02:17Z,0.3100999999999999,9.97465998686664e-18,0.6899,0.024390243902439025,0.28570975609756083,51
1,CIN,-19,-5.5,0.723557563,0.199748,7.589559,4.853874,0.466814159,0.523043944,0.563380282,0.506849315,6.042498,8.543217,0.055046373,44,2,CIN@CLE,-5.5,-10,-110,44.5,-110,2025-07-03T21:02:17Z,0.7096,1.0842021724855044e-19,0.2904,0.5238095238095238,0.18579047619047617,44.5
1,CLE,19,5.5,0.276276633,-0.24753,-11.0109,0.905288,0.379239466,0.592635213,0.384146341,0.414634146,-0.19037,-0.01266,-0.009422828,44,2,CIN@CLE,5.5,10,-110,44.5,-110,2025-07-03T21:02:17Z,0.29019999999999996,-3.4694469519536138e-18,0.7097999999999999,0.5238095238095238,-0.23360952380952388,44.5
1,DAL,9,7,0.418268534,-0.10554,-6.70987,5.823459,0.416233091,0.561659193,0.461038961,0.503225806,6.119981,2.784711,-0.02543752,47.5,2,DAL@PHI,7,7.5,-110,46.5,-110,2025-07-03T21:02:17Z,0.4182685337988947,0.09680604919054356,0.48497356081861465,0.5238095238095238,-0.10554099001062911,47
1,DET,1,1.5,0.500192181,-0.02362,11.63269,-3.6644,0.488648649,0.581939799,0.583892617,0.456375839,3.447011,11.97007,-0.048801841,49.5,1,DET@GB,2,1.5,-110,49.5,-110,2025-07-03T21:02:17Z,0.5001921804625205,0.0323202217757065,0.46753575594554186,0.5238095238095238,-0.023617343347003383,49.5
1,GB,-1,-1.5,0.49981325,-0.024,5.631199,-5.45632,0.443557583,0.546681665,0.568493151,0.479166667,5.334712,7.361054,-0.091738168,49.5,1,DET@GB,-2,-1.5,-110,49.5,-110,2025-07-03T21:02:17Z,0.4674818148318459,0.03239246515123188,0.5001867504330025,0.5238095238095238,-0.056327708977677915,49.5
1,HOU,2.5,2.5,0.485013207,-0.0388,-3.14872,-4.83928,0.388465724,0.61011236,0.496815287,0.396226415,1.99217,-2.67678,-0.012607507,43,1,HOU@LA,3,3,-110,46,-110,2025-07-03T21:02:17Z,0.44609999999999994,0.10770000000000005,0.4460999999999999,0.5238095238095238,-0.0777095238095239,45
1,IND,5.5,1,0.430206431,-0.0936,-4.09592,-0.00548,0.384615385,0.567708333,0.437086093,0.493506494,-0.36655,-1.50436,-0.083982087,49.5,1,MIA@IND,1,2.5,-109.5,46.5,-110,2025-07-03T21:02:17Z,0.4302064308494331,0.00931591620043543,0.5603577277003594,0.522673031026253,-0.09246660017681985,47.5
1,JAX,-16,-2.5,0.6881,0.16429,-1.78604,9.194117,0.42206235,0.546499478,0.382978723,0.614285714,1.23976,1.569774,-0.044019905,59,1,CAR@JAX,-2.5,-7,-117,46.5,-110,2025-07-03T21:02:17Z,0.6881000000000002,-3.252606517456513e-18,0.31190000000000007,0.5391705069124424,0.14892949308755776,51
1,KC,-6.5,-2,0.582310598,0.058501,5.178348,1.631221,0.485355649,0.565972222,0.507352941,0.474074074,10.48947,8.487832,0.038715938,50,1,KC@LAC,-2.5,-4,-112.5,45.5,-110,2025-07-03T21:02:17Z,0.5992000000000002,-6.071532165918825e-18,0.4008000000000001,0.5294117647058824,0.06978823529411782,47
1,LA,-2.5,-2.5,0.515011272,-0.0088,2.449188,-0.17726,0.475083056,0.552602436,0.489051095,0.514285714,3.249725,6.45612,-0.050780787,43,1,HOU@LA,-3,-3,-110,46,-110,2025-07-03T21:02:17Z,0.4461000000000001,0.10780000000000001,0.4461,0.5238095238095238,-0.07770952380952373,45
1,LAC,6.5,2,0.372851249,-0.15096,1.513909,-1.06116,0.395180723,0.57704918,0.458333333,0.44,4.298113,7.452957,-0.032525487,50,1,KC@LAC,2.5,4,-106.5,45.5,-110,2025-07-03T21:02:17Z,0.4007,1.6046192152785466e-17,0.5992999999999997,0.5157384987893463,-0.1150384987893463,47
1,LV,-2,3,0.532464245,0.008655,-7.91203,-0.66218,0.405701754,0.559819413,0.418300654,0.5,0.840812,0.497355,-0.023750657,45.5,1,LV@NE,3,1.5,-114,42.5,-110,2025-07-03T21:02:17Z,0.5324642452883587,0.06654547095230089,0.40100302546726696,0.5327102803738317,-2.4603508547305086e-4,43.5
1,MIA,-5.5,-1,0.560326941,0.036517,-2.6629,-0.80581,0.446466809,0.56346382,0.482517483,0.472222222,5.361047,8.662802,-0.045752586,49.5,1,MIA@IND,-1,-2.5,-110,46.5,-110,2025-07-03T21:02:17Z,0.5603269410311814,0.00931658676519653,0.4303462496719687,0.5238095238095238,0.03651741722165758,47.5
1,NE,2,-3,0.400792209,-0.12302,-6.36547,6.492935,0.426174497,0.542128603,0.408163265,0.557142857,1.085199,1.546981,-0.049835652,45.5,1,LV@NE,-3,-1.5,-107,42.5,-110,2025-07-03T21:02:17Z,0.40079220907693874,0.06668933917676961,0.5325181851444164,0.5169082125603864,-0.1161160034834477,43.5
1,NYJ,6.5,2.5,0.4007,-0.12311,0.224927,3.166514,0.426758939,0.559447983,0.478571429,0.539568345,-1.33471,1.445716,-3.80371e-4,45,1,PIT@NYJ,3,4,-118,39.5,-110,2025-07-03T21:02:17Z,0.40069999999999995,0.081,0.5183,0.5412844036697247,-0.1405844036697248,41.5
1,PHI,-9,-7,0.48511637,-0.03869,9.567478,-8.38448,0.458378378,0.601635514,0.569343066,0.443661972,3.985729,5.476677,-0.093771966,47.5,2,DAL@PHI,-7,-7.5,-108,46.5,-110,2025-07-03T21:02:17Z,0.4851163702717276,0.09625730279037854,0.41857970643927966,0.5192307692307693,-0.03411439895904167,47
1,PIT,-6.5,-2.5,0.5992,0.07539,-1.55097,0.259815,0.409836066,0.566929134,0.483870968,0.456375839,6.818512,1.600636,-0.077781688,45,1,PIT@NYJ,-3,-4,-104,39.5,-110,2025-07-03T21:02:17Z,0.5183,0.08089999999999999,0.40080000000000016,0.5098039215686274,0.008496078431372567,41.5
1,SEA,-0.5,1.5,0.504,-0.01981,-2.22722,0.090927,0.435448578,0.558315335,0.47972973,0.442307692,-0.78319,5.253397,-0.001034009,45,1,SF@SEA,1.5,1,-110,45.5,-110,2025-07-03T21:02:17Z,0.5039999999999999,0,0.49599999999999994,0.5238095238095238,-0.019809523809523943,45.5
1,SF,0.5,-1.5,0.496,-0.02781,2.865819,2.260817,0.445727483,0.555816686,0.539568345,0.478571429,8.985197,5.857535,-0.048254587,45,1,SF@SEA,-1.5,-1,-110,45.5,-110,2025-07-03T21:02:17Z,0.49599999999999994,-6.505213034913027e-19,0.5039999999999999,0.5238095238095238,-0.027809523809523895,45.5
1,TB,-10.5,-1.5,0.640607114,0.116798,8.003507,0.394551,0.484716157,0.537473233,0.54109589,0.595890411,3.179017,8.868264,-0.010486854,51.5,1,TB@ATL,-2.5,-5.5,-112.5,49,-111,2025-07-03T21:02:17Z,0.6118165522455603,2.0057740190981832e-18,0.38818344775431746,0.5294117647058824,0.08240478753967795,50
