week,game,model_prediction,median_over_line,median_over_price,median_over_cover_probability,median_over_edge,median_under_line,median_under_price,median_under_cover_probability,median_under_edge,best_over_book,best_over_line,best_over_price,best_over_cover_probability,best_over_edge,best_under_book,best_under_line,best_under_price,best_under_cover_probability,best_under_edge
8,BUF@CAR,44.5,41.5,-114,0.58673789,0.05402760962616826,41.5,-115,0.41326211,-0.1216216109302325,DraftKings,40.5,-115,0.61471174,0.07982801906976744,Fanatics,42.5,-120,0.44121171,-0.10424283545454543
8,CHI@BAL,49,42.5,-115,0.67309269,0.13820896906976754,41.5,-110,0.30339084,-0.22041868380952384,BetMGM,41.5,-115,0.69660916,0.16172543906976744,FanDuel,42.5,-114,0.32690731,-0.20580297037383172
8,CLE@NE,41.5,39.5,-117,0.55269403,0.013523523087557554,39.5,-115,0.44432314,-0.0905605809302325,BetMGM,38.5,-118,0.58161147,0.040327066330275274,FanDuel,39.5,-110,0.44730597,-0.07650355380952384
8,DAL@DEN,50,51.5,-110,0.45065127,-0.07315825380952384,51.5,-110,0.54934873,0.025539206190476116,Fanatics,51.5,-110,0.45065127,-0.07315825380952384,Fanatics,51.5,-110,0.54934873,0.025539206190476116
8,GB@PIT,46.5,45.5,-114,0.52263734,-0.010072940373831774,45.5,-110,0.47736266,-0.04644686380952384,BetMGM,45.5,-110,0.52263734,-0.0011721838095238857,DraftKings,45.5,-102,0.47736266,-0.02758783504950496
8,MIA@ATL,45.5,42.5,-115,0.57916566,0.04428193906976752,42.5,-118,0.42083434,-0.12045006366972477,Fanatics,42.5,-110,0.57916566,0.05535613619047619,BetMGM,42.5,-105,0.42083434,-0.09136078195121955
8,NYG@PHI,51.5,49.5,-122,0.55499341,0.005443860450450422,49.5,-110,0.44965326,-0.07415626380952384,BetRivers,49.5,-120,0.55499341,0.009538864545454606,Fanatics,50.5,-120,0.47337423,-0.07208031545454541
8,NYJ@CIN,41.5,44.5,-118,0.41318516,-0.12809924366972475,44.5,-112,0.58681484,0.058512953207547125,BetRivers,44,-114,0.41318516,-0.11952512037383173,DraftKings,45.5,-115,0.614712,0.07982827906976753
8,SF@HOU,37,35.5,-120,0.54490459,-5.499554545453922e-4,36.5,-130,0.48175919,-0.08345820130434778,DraftKings,35.5,-110,0.54490459,0.021095066190476186,BetMGM,35.5,-105,0.45509541,-0.057099711951219545
8,TB@NO,49.5,46,-110,0.57484377,0.05103424619047614,45.5,-108,0.39938591,-0.11984485923076926,FanDuel,45.5,-112,0.60061409,0.07231220320754717,DraftKings,46.5,-110,0.42515623,-0.09865329380952381
8,TEN@IND,46.5,47.5,-118,0.47126465,-0.07001975366972474,47.5,-106,0.52873535,0.01417224320388355,FanDuel,47.5,-114,0.47126465,-0.06144563037383172,DraftKings,47.5,-102,0.52873535,0.023784854950495093
8,WAS@KC,48,48,-110,0.48225825,-0.041551273809523837,48,-110,0.4848887,-0.03892082380952383,DraftKings,47.5,-112,0.5151113,-0.013190586792452774,FanDuel,47.5,-105,0.4848887,-0.027306421951219517
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
