Spread_Bin,Market_Total,True_Total,Over_probability,Under_probability,Push_probability
1,30,20,0.24515797,0.7288479,0.02599413
1,30,20.5,0.25544949,0.71805343,0.02649708
1,30,21,0.26599581,0.70702033,0.02698386
1,30,21.5,0.27679178,0.69575529,0.02745293
1,30,22,0.28783148,0.68426577,0.02790276
1,30,22.5,0.29910819,0.67255998,0.02833183
1,30,23,0.31061443,0.66064691,0.02873866
1,30,23.5,0.32234192,0.64853627,0.02912181
1,30,24,0.33428162,0.63623849,0.02947989
1,30,24.5,0.34642373,0.62376472,0.02981155
1,30,25,0.35875772,0.61112676,0.03011552
1,30,25.5,0.37127235,0.59833708,0.03039058
1,30,26,0.38395566,0.58540873,0.03063561
1,30,26.5,0.39679507,0.57235536,0.03084956
1,30,27,0.40977738,0.55919112,0.0310315
1,30,27.5,0.42288877,0.54593066,0.03118057
1,30,28,0.43611494,0.53258903,0.03129603
1,30,28.5,0.44944107,0.51918169,0.03137725
1,30,29,0.46285189,0.50572439,0.03142372
1,30,29.5,0.47633179,0.49223316,0.03143505
1,30,30,0.48986481,0.47872422,0.03141097
1,30,30.5,0.50343472,0.46521394,0.03135135
1,30,31,0.51702509,0.45171874,0.03125617
1,30,31.5,0.53061935,0.43825509,0.03112556
1,30,32,0.54420086,0.42483938,0.03095976
1,30,32.5,0.55775296,0.41148787,0.03075916
1,30,33,0.57125904,0.39821668,0.03052428
1,30,33.5,0.58470262,0.38504165,0.03025574
1,30,34,0.59806737,0.37197833,0.0299543
1,30,34.5,0.61133725,0.3590419,0.02962084
1,30,35,0.62449649,0.34624714,0.02925637
1,30,35.5,0.63752971,0.33360832,0.02886197
1,30,36,0.65042194,0.3211392,0.02843886
1,30,36.5,0.66315869,0.30885298,0.02798833
1,30,37,0.67572601,0.29676221,0.02751177
1,30,37.5,0.68811052,0.28487881,0.02701067
1,30,38,0.70029948,0.27321398,0.02648655
1,30,38.5,0.71228078,0.26177819,0.02594102
1,30,39,0.72404306,0.25058117,0.02537576
1,30,39.5,0.73557567,0.23963186,0.02479247
1,30,40,0.74686872,0.22893839,0.02419289
1,30.5,20.5,0.25544949,0.74455051,0
1,30.5,21,0.26599581,0.73400419,0
1,30.5,21.5,0.27679178,0.72320822,0
1,30.5,22,0.28783148,0.71216852,0
1,30.5,22.5,0.29910819,0.70089181,0
1,30.5,23,0.31061443,0.68938557,0
1,30.5,23.5,0.32234192,0.67765808,0
1,30.5,24,0.33428162,0.66571838,0
1,30.5,24.5,0.34642373,0.65357627,0
1,30.5,25,0.35875772,0.64124228,0
1,30.5,25.5,0.37127235,0.62872765,0
1,30.5,26,0.38395566,0.61604434,0
1,30.5,26.5,0.39679507,0.60320493,0
1,30.5,27,0.40977738,0.59022262,0
1,30.5,27.5,0.42288877,0.57711123,0
1,30.5,28,0.43611494,0.56388506,0
1,30.5,28.5,0.44944107,0.55055893,0
1,30.5,29,0.46285189,0.53714811,0
1,30.5,29.5,0.47633179,0.52366821,0
1,30.5,30,0.48986481,0.51013519,0
1,30.5,30.5,0.50343472,0.49656528,0
1,30.5,31,0.51702509,0.48297491,0
1,30.5,31.5,0.53061935,0.46938065,0
1,30.5,32,0.54420086,0.45579914,0
1,30.5,32.5,0.55775296,0.44224704,0
1,30.5,33,0.57125904,0.42874096,0
1,30.5,33.5,0.58470262,0.41529738,0
1,30.5,34,0.59806737,0.40193263,0
1,30.5,34.5,0.61133725,0.38866275,0
1,30.5,35,0.62449649,0.37550351,0
1,30.5,35.5,0.63752971,0.36247029,0
1,30.5,36,0.65042194,0.34957806,0
1,30.5,36.5,0.66315869,0.33684131,0
1,30.5,37,0.67572601,0.32427399,0
1,30.5,37.5,0.68811052,0.31188948,0
1,30.5,38,0.70029948,0.29970052,0
1,30.5,38.5,0.71228078,0.28771922,0
1,30.5,39,0.72404306,0.27595694,0
1,30.5,39.5,0.73557567,0.26442433,0
1,30.5,40,0.74686872,0.25313128,0
1,30.5,40.5,0.75791313,0.24208687,0
1,31,21,0.24346827,0.73400419,0.02252754
1,31,21.5,0.25381489,0.72320822,0.02297689
1,31,22,0.26441926,0.71216852,0.02341222
1,31,22.5,0.27527605,0.70089181,0.02383214
1,31,23,0.28637916,0.68938557,0.02423527
1,31,23.5,0.29772166,0.67765808,0.02462026
1,31,24,0.30929583,0.66571838,0.02498578
1,31,24.5,0.32109318,0.65357627,0.02533055
1,31,25,0.33310443,0.64124228,0.0256533
1,31,25.5,0.34531952,0.62872765,0.02595283
1,31,26,0.35772766,0.61604434,0.026228
1,31,26.5,0.37031735,0.60320493,0.02647772
1,31,27,0.38307639,0.59022262,0.02670098
1,31,27.5,0.39599192,0.57711123,0.02689685
1,31,28,0.40905047,0.56388506,0.02706447
1,31,28.5,0.42223799,0.55055893,0.02720308
1,31,29,0.43553988,0.53714811,0.02731201
1,31,29.5,0.44894109,0.52366821,0.0273907
1,31,30,0.46242613,0.51013519,0.02743868
1,31,30.5,0.47597911,0.49656528,0.0274556
1,31,31,0.48958386,0.48297491,0.02744122
1,31,31.5,0.50322395,0.46938065,0.02739541
1,31,32,0.51688272,0.45579914,0.02731814
1,31,32.5,0.53054344,0.44224704,0.02720952
1,31,33,0.54418926,0.42874096,0.02706978
1,31,33.5,0.55780338,0.41529738,0.02689923
1,31,34,0.57136903,0.40193263,0.02669834
1,31,34.5,0.5848696,0.38866275,0.02646765
1,31,35,0.59828865,0.37550351,0.02620785
1,31,35.5,0.61161002,0.36247029,0.02591969
1,31,36,0.62481788,0.34957806,0.02560406
1,31,36.5,0.63789676,0.33684131,0.02526193
1,31,37,0.65083164,0.32427399,0.02489437
1,31,37.5,0.66360801,0.31188948,0.02450252
1,31,38,0.67621187,0.29970052,0.02408761
1,31,38.5,0.68862985,0.28771922,0.02365094
1,31,39,0.70084919,0.27595694,0.02319387
1,31,39.5,0.71285784,0.26442433,0.02271783
1,31,40,0.72464444,0.25313128,0.02222428
1,31,40.5,0.7361984,0.24208687,0.02171473
1,31,41,0.74750988,0.23129939,0.02119073
1,31.5,21.5,0.25381489,0.74618511,0
1,31.5,22,0.26441926,0.73558074,0
1,31.5,22.5,0.27527605,0.72472395,0
1,31.5,23,0.28637916,0.71362084,0
1,31.5,23.5,0.29772166,0.70227834,0
1,31.5,24,0.30929583,0.69070417,0
1,31.5,24.5,0.32109318,0.67890682,0
1,31.5,25,0.33310443,0.66689557,0
1,31.5,25.5,0.34531952,0.65468048,0
1,31.5,26,0.35772766,0.64227234,0
1,31.5,26.5,0.37031735,0.62968265,0
1,31.5,27,0.38307639,0.61692361,0
1,31.5,27.5,0.39599192,0.60400808,0
1,31.5,28,0.40905047,0.59094953,0
1,31.5,28.5,0.42223799,0.57776201,0
1,31.5,29,0.43553988,0.56446012,0
1,31.5,29.5,0.44894109,0.55105891,0
1,31.5,30,0.46242613,0.53757387,0
1,31.5,30.5,0.47597911,0.52402089,0
1,31.5,31,0.48958386,0.51041614,0
1,31.5,31.5,0.50322395,0.49677605,0
1,31.5,32,0.51688272,0.48311728,0
1,31.5,32.5,0.53054344,0.46945656,0
1,31.5,33,0.54418926,0.45581074,0
1,31.5,33.5,0.55780338,0.44219662,0
1,31.5,34,0.57136903,0.42863097,0
1,31.5,34.5,0.5848696,0.4151304,0
1,31.5,35,0.59828865,0.40171135,0
1,31.5,35.5,0.61161002,0.38838998,0
1,31.5,36,0.62481788,0.37518212,0
1,31.5,36.5,0.63789676,0.36210324,0
1,31.5,37,0.65083164,0.34916836,0
1,31.5,37.5,0.66360801,0.33639199,0
1,31.5,38,0.67621187,0.32378813,0
1,31.5,38.5,0.68862985,0.31137015,0
1,31.5,39,0.70084919,0.29915081,0
1,31.5,39.5,0.71285784,0.28714216,0
1,31.5,40,0.72464444,0.27535556,0
1,31.5,40.5,0.7361984,0.2638016,0
1,31.5,41,0.74750988,0.25249012,0
1,31.5,41.5,0.75856987,0.24143013,0
1,32,22,0.24269965,0.73558074,0.02171961
