week,Team,Opponent,Model Prediction,Opening Spread,Cover Probability (%),Edge (%),
7,NC State,Syracuse,1,5,0.615747927,0.091938,
7,Northwestern,Maryland,7,10,0.602816094,0.079007,
7,Northern Illinois,Bowling Green,-2,2.5,0.596870491,0.073061,
7,Texas,Oklahoma,-20,-16,0.580581053,0.056772,
7,Florida,Tennessee,13,15,0.5697753,0.045966,
7,California,Pittsburgh,2,3.5,0.569488068,0.045679,
7,Vanderbilt,Kentucky,11,13,0.568693513,0.044884,
7,Purdue,Illinois,17,20,0.567654788,0.043845,
7,Southern Mississi,Louisiana Monroe,4,6,0.565473669,0.041664,
7,Wisconsin,Rutgers,-1,2,0.55703447,0.033225,
7,Utah State,UNLV,17,19,0.552978255,0.029169,
7,New Mexico,Air Force,3,4,0.54648474,0.022675,
7,Oregon,Ohio State,3,4,0.54648474,0.022675,
7,Middle Tennessee,Louisiana Tech,3,4,0.54648474,0.022675,
7,Florida Atlantic,North Texas,6,6.5,0.540976641,0.017167,
7,Kent State,Ball State,6,7,0.540976641,0.017167,
7,Virginia,Louisville,6,7,0.540976641,0.017167,
7,New Mexico State,Jacksonville State,19,21,0.5346995,0.01089,
7,Mississippi State,Georgia,32,34,0.533180848,0.009371,
7,UAB,Army,22,23.5,0.532072277,0.008263,
7,Missouri,UMass,-30,-28,0.529924195,0.006115,
7,Buffalo,Toledo,9,7.5,0.529300292,0.005491,
7,Akron,Western Michigan,9,8,0.529300292,0.005491,
7,Rice,UT San Antonio,5,4.5,0.523896707,0.000087,
7,North Carolina,Georgia Tech,4,4,0.523274022,-0.00054,
7,Fresno State,Washington State,4,4,0.523274022,-0.00054,
7,UCLA,Minnesota,6,5.5,0.518635671,-0.00517,
7,San Diego State,Wyoming,-3,-2,0.517831961,-0.00598,
7,South Florida,Memphis,7,7,0.517299437,-0.00651,
7,Clemson,Wake Forest,-21,-20.5,0.516157912,-0.00765,
7,Alabama,South Carolina,-23,-22,0.510929782,-0.01288,
7,Central Michigan,Ohio,1,2,0.510933798,-0.01288,
7,Hawai'i,Boise State,20,21,0.509283748,-0.01453,
7,Liberty,Florida Internati,-20,-19.5,0.508484313,-0.01533,
7,Arkansas State,Texas State,14,14,0.507036677,-0.01677,
7,LSU,Ole Miss,2,2.5,0.505337139,-0.01847,
7,West Virginia,Iowa State,2,3,0.505337139,-0.01847,
7,Washington,Iowa,2,2.5,0.505337139,-0.01847,
