game_id,week,team,home_team_id,opponent,away_team_id,model_prediction_raw,model_prediction,opening_spread,cover_probability,edge,Market Total,total_bin_close
401858469,4,USC,30,Oregon,2483,-1,3,5.5,0.55830218,0.034493,62.5,3
401858461,4,Indiana,84,Northwestern,77,-19.5,-22,-23.5,0.45941141,-0.0644,47.5,1
401860891,4,Fresno State,278,Rice,242,-25.5,-17,-12.5,0.57222042,0.048411,44.5,1
401858466,4,Penn State,213,Wisconsin,275,-18.5,-14,-11.5,0.52930871,0.005499,43.5,1
401856700,4,Georgia,61,Oklahoma,201,-14.5,-11.5,-10,0.49661979,-0.02719,47.5,1
401858470,4,Washington,264,Minnesota,135,-13.5,-11,-9.5,0.5105185,-0.01329,45.5,1
401858463,4,Michigan,130,Iowa,2294,-1,-3.5,-4.5,0.46680289,-0.05701,37.5,1
401866425,4,Kent State,2309,Ball State,2050,7,0,-4,0.39838214,-0.12543,50,1
401861970,4,Miami (OH),193,Connecticut,41,7.5,0.5,-3.5,0.4069269,-0.11688,49,1
401860893,4,Toledo,2649,San Diego State,21,-6.5,-1,1.5,0.54359297,0.019783,49,1
401858234,4,California,25,Clemson,228,-1.5,0.5,1.5,0.51393546,-0.00987,48,1
401862779,4,Temple,218,Army,349,-2,1.5,3.5,0.55550478,0.031695,50,1
401864509,4,Nevada,2440,Air Force,2005,2,3.5,4.5,0.53679526,0.012986,49.5,1
401864510,4,Wyoming,2751,Hawai'i,62,-4,2,5.5,0.58201167,0.058202,45.5,1
401858240,4,Stanford,24,Georgia Tech,59,-1,3.5,5.5,0.55260565,0.028796,47,1
401858464,4,Michigan State,127,Nebraska,158,13,8,5.5,0.46310658,-0.0607,49.5,1
401866429,4,Sacramento State,16,UMass,113,5,6,6.5,0.52164819,-0.00216,49,1
401860897,4,Western Michigan,2711,Boise State,68,13,9.5,7.5,0.48584241,-0.03797,47.5,1
401856816,4,Iowa State,66,Utah,254,-5,5.5,11.5,0.6358661,0.112057,49.5,1
401856804,4,Washington State,265,Arizona,12,-5,6.5,12.5,0.63272146,0.108912,49,1
401858238,4,Miami,2390,Central Michigan,2117,-29,-38,-42.5,0.41023625,-0.11357,54.5,2
401856805,4,Texas Tech,2641,Sam Houston State,2534,-39.5,-39,-38.5,0.49991064,-0.0239,55.5,2
401858241,4,SMU,2567,Missouri State,2623,-32,-33.5,-34.5,0.47347864,-0.05033,59.5,2
401858465,4,Ohio State,194,Illinois,356,-23,-26,-27.5,0.46606748,-0.05774,53.5,2
401858239,4,Virginia,258,Delaware,48,-20,-20.5,-20.5,0.48954463,-0.03426,55.5,2
401864576,4,Kentucky,96,South Alabama,6,-14,-17.5,-19,0.4522913,-0.07152,56,2
401862784,4,Tulane,2655,Southern Mississip,2572,-25.5,-20.5,-17.5,0.53737065,0.013561,54,2
401858243,4,Louisville,97,Wake Forest,154,-14.5,-14,-13.5,0.49255789,-0.03125,58.5,2
401864572,4,NC State,152,App State,2026,-14.5,-14,-13.5,0.49255789,-0.03125,54,2
401860896,4,UT San Antonio,2636,Colorado State,36,-18,-14,-12,0.50792334,-0.01589,56,2
401856696,4,Alabama,333,South Carolina,2579,-17,-13.5,-11.5,0.51410447,-0.00971,52.5,2
401864511,4,Georgia State,2247,Northern Illinois,2459,-10,-9.5,-9.5,0.47748524,-0.04632,55.5,2
401871048,4,Jacksonville State,55,Middle Tennessee,2393,-12.5,-10,-8.5,0.50103986,-0.02277,53,2
401856697,4,Arkansas,8,Tulsa,202,-6.5,-8,-8.5,0.46626638,-0.05754,52,2
401856698,4,Auburn,2,Vanderbilt,238,-3.5,-6.5,-8.5,0.44038075,-0.08343,52.5,2
