Sport,Bet type,Team,Bet,Odds,Best Book,Notes,Win/Loss
NFL+CFB Futures,See 2026 Futures Tab Below,,,,,,
,,,,,,,
,,,,,,,
CFB,Week 3 Spread,Maryland,3.5,-120,FanDuel,BET365 at -110 ,
CFB,Week 3 Spread,Colorado State,18.5,-110,TheScore,,
CFB,Week 3 Spread,Texas AM,-16.5,-110,Caesars,,
CFB,Week 3 Spread,Charlotte 49ers,19.5,-110,FanDuel,20.5 avaible at FD,
CFB,Week 3 Spread,Kansas,5.5,-110,Caesars,6.5 avalaible at Caesars,
CFB,Week 3 Spread,Northern Illinois,34.5,-110,BetRivers,35 available at betrivers,
CFB,Week 3 Spread,Rice,11.5,-110,FanDuel,,
CFB,Week 3 Spread,Iowa State,-23,-110,DraftKings,-22.5 available at DK,
CFB,Week 3 Spread,UTEP,36.5,-110,TheScore,37.5 at MGM,
CFB,Week 3 Spread,Eastern Michigan,24.5,-110,TheScore,,
CFB,Week 3 Spread,UAB,8.5,-110,BetMGM,9.5 at MGM,
CFB,Week 3 Spread,North Texas,3,-110,Caesars,must get 3,
CFB,Week 3 Spread,Akron,25.5,-110,BetMGM,26.5 at MGM,
CFB,Week 3 Spread,Purdue,15.5,-110,FanDuel,,
NFL,Week 2 Spread,Chicago,-5.5,-110,TheScore,-105 at FD and Score Wentz must start for MIN,
NFL,Week 2 Spread,Atlanta,1.5,-110,BetMGM,*Tua must start for ATL,
NFL,Week 2 Spread,Green Bay,-4.5,-110,FanDuel,-106 at FD,
NFL,Week 2 Spread,Cleveland,8.5,-110,BetMGM,,
NFL,Week 2 Spread,New York Giants,7.5,-120,TheScore,Must get 7.5,
NFL,Week 1 Spread ,KC,-2.5,-110,DraftKings,Would try to get at -115 or better but -120 ok,
