Team,Normal_Starter,Manual Flag
ARI,J.Brissett,1
ATL,M.Penix,
BAL,L.Jackson,
BUF,J.Allen,
CAR,B.Young,
CHI,C.Williams,
CIN,J.Burrow,
CLE,D.Watson,1
DAL,D.Prescott,
DEN,B.Nix,
DET,J.Goff,
GB,J.Love,
HOU,C.Stroud,
IND,D.Jones,
JAX,T.Lawrence,
KC,P.Mahomes,
LA,M.Stafford,
LAC,J.Herbert,
LV,K.Cousins,1
MIA,M.Willis,
MIN,K.Murray,1
NE,D.Maye,
NO,T.Shough,
NYG,J.Dart,
NYJ,G.Smith,
PHI,J.Hurts,
PIT,A.Rodgers,
SEA,S.Darnold,
SF,B.Purdy,
TB,B.Mayfield,
TEN,C.Ward,
WAS,J.Daniels,
